iter	RMSE
388	12589.76613
389	12567.85973
390	12559.49994
391	12546.70442
392	12530.55432
393	12503.63182
394	12471.50849
395	12452.18191
396	12442.10102
397	12408.39208
398	12384.20752
399	12360.44307
400	12335.05247
401	12311.50379
402	12286.97161
403	12258.45427
404	12233.4468
405	12206.18898
406	12182.02487
407	12163.85644
408	12136.23555
409	12122.49811
410	12084.49139
411	12071.59537
412	12049.80566
413	12022.23193
414	12007.37326
415	11979.40994
416	11953.42489
417	11933.53823
418	11908.9137
419	11885.95622
420	11873.36788
421	11844.34175
422	11830.2814
423	11810.84949
424	11793.26682
425	11762.12299
426	11736.40726
427	11728.78548
428	11701.02506
429	11689.65894
430	11679.55146
431	11648.86919
432	11631.26945
433	11623.64661
434	11606.82713
435	11594.34544
436	11577.51438
437	11555.48742
438	11534.25828
439	11509.84906
440	11495.37642
441	11465.4357
442	11439.55348
443	11419.26427
444	11398.8102
445	11395.81346
446	11386.26004
447	11368.02215
448	11344.80956
449	11321.46673
450	11305.70813
451	11293.29319
452	11267.46442
453	11234.72323
454	11209.94353
455	11192.68361
456	11176.40277
457	11161.6909
458	11140.67204
459	11115.32959
460	11089.10917
461	11057.95309
462	11044.08566
463	11033.35774
464	11014.52387
465	10997.41504
466	10987.73425
467	10979.8087
468	10962.03242
469	10945.24131
470	10927.04994
471	10899.29831
472	10882.61243
473	10864.47599
474	10843.63106
475	10826.54271
476	10816.56922
477	10801.12903
478	10787.69623
479	10757.3101
480	10741.93052
481	10739.42612
482	10715.7388
483	10707.58036
484	10692.15943
485	10673.91844
486	10657.76841
487	10637.33208
488	10618.03964
489	10600.01566
490	10582.90152
491	10569.71109
492	10552.61518
493	10537.87442
494	10520.74546
495	10499.64015
496	10486.04116
497	10476.54293
498	10464.77582
499	10443.22234
500	10435.39523
501	10411.88532
502	10396.11768
503	10389.94594
504	10378.05265
505	10359.13561
506	10346.88079
507	10326.92685
508	10313.13384
509	10301.09913
510	10293.13428
511	10268.3946
512	10264.31917
513	10248.13388
514	10243.05072
515	10221.30772
516	10209.8201
517	10197.40705
518	10190.8447
519	10174.33447
520	10156.11609
521	10142.47649
522	10118.21909
523	10098.2985
524	10078.70651
525	10060.90098
526	10043.20124
527	10036.56198
528	10011.52126
529	10005.45398
530	9989.037241
531	9972.219103
532	9951.741105
533	9936.954631
534	9915.794088
535	9894.720304
536	9879.037328
537	9870.753608
538	9851.960159
539	9830.755586
540	9812.038259
541	9796.862896
542	9780.299619
543	9763.15213
544	9760.822811
545	9750.021122
546	9735.603507
547	9705.45437
548	9702.179751
549	9681.655682
550	9660.403492
551	9642.423722
552	9624.73567
553	9615.919601
554	9595.086323
555	9576.735089
556	9559.923206
557	9550.401676
558	9536.449325
559	9531.085794
560	9524.617098
561	9506.149257
562	9492.994687
563	9478.380416
564	9465.817083
565	9439.979028
566	9428.493308
567	9411.36585
568	9399.397973
569	9390.738247
570	9374.422622
571	9358.674255
572	9338.76472
573	9320.582929
574	9318.17344
575	9301.771495
576	9285.906454
577	9275.126618
578	9257.845525
579	9244.609283
580	9228.665144
581	9212.714637
582	9200.476919
583	9187.868907
584	9173.089166
585	9161.483995
586	9158.824045
587	9145.631097
588	9133.525138
589	9119.617088
590	9116.438839
591	9104.271551
592	9089.042698
593	9085.53062
594	9067.897159
595	9058.964215
596	9039.979208
597	9024.100746
598	9001.81013
599	8989.102871
600	8977.015279
601	8969.114833
602	8942.234657
603	8926.203165
604	8914.804507
605	8895.66223
606	8893.247623
607	8879.074996
608	8866.041347
609	8856.869916
610	8843.582829
611	8834.375681
612	8825.730874
613	8813.074468
614	8806.549716
615	8794.970755
616	8781.847946
617	8766.451105
618	8764.147943
619	8753.504701
620	8742.746049
621	8732.98525
622	8728.667843
623	8711.973205
624	8700.788215
625	8686.889903
626	8679.247292
627	8677.294063
628	8664.337336
629	8652.273504
630	8634.087586
631	8631.930123
632	8620.820818
633	8605.749609
634	8590.943265
635	8572.726903
636	8556.679891
637	8537.836993
638	8529.150469
639	8513.294072
640	8498.230043
641	8483.988785
642	8472.80368
643	8459.190085
644	8443.207446
645	8430.438775
646	8418.04179
647	8411.959757
648	8392.536457
649	8378.523807
650	8375.434142
651	8372.660246
652	8369.420125
653	8359.471687
654	8341.609474
655	8329.04762
656	8306.92317
657	8296.290636
658	8288.347704
659	8269.042626
660	8261.032787
661	8246.888357
662	8238.944163
663	8226.230968
664	8213.783343
665	8201.212985
666	8199.699273
667	8182.16862
668	8168.585416
669	8159.390879
670	8147.853269
671	8134.923133
672	8133.011796
673	8131.537349
674	8117.756659
675	8103.161574
676	8095.326184
677	8093.62609
678	8076.397493
679	8069.549473
680	8068.367731
681	8048.991275
682	8047.464847
683	8034.431672
684	8023.79664
685	8010.454933
686	7997.144097
687	7990.946788
688	7975.892958
689	7961.642968
690	7953.762911
691	7945.285502
692	7933.408458
693	7921.252626
694	7919.82967
695	7910.959306
696	7896.335753
697	7895.272356
698	7887.484896
699	7877.05023
700	7865.864611
701	7850.386995
702	7845.440612
703	7838.151123
704	7828.708337
705	7818.789134
706	7810.007544
707	7800.732532
708	7799.449731
709	7797.131407
710	7783.818312
711	7774.014724
712	7760.002088
713	7744.667121
714	7727.823553
715	7717.185921
716	7707.966127
717	7693.766044
718	7682.723211
719	7680.04316
720	7678.995108
721	7671.924344
722	7667.931536
723	7655.585963
724	7643.962904
725	7632.29584
726	7625.444593
727	7618.59084
728	7616.488976
729	7602.520106
730	7588.069533
731	7574.831844
732	7568.120105
733	7559.523698
734	7558.315741
735	7550.448733
736	7544.607705
737	7537.270051
738	7529.409987
739	7515.817175
740	7505.756606
741	7495.25272
742	7487.914474
743	7479.88079
744	7473.207644
745	7465.170355
746	7462.991326
747	7452.693699
748	7443.690801
749	7431.077333
750	7418.127885
751	7416.383995
752	7405.02891
753	7386.484352
754	7375.533064
755	7368.160489
756	7367.459675
757	7355.931534
758	7348.587391
759	7338.446213
760	7325.371142
761	7322.83473
762	7309.033721
763	7297.820902
764	7286.198011
765	7271.667202
766	7271.002603
767	7259.828411
768	7243.258591
769	7234.25001
770	7228.184285
771	7218.562209
772	7215.831105
773	7210.83803
774	7202.767536
775	7192.848556
776	7186.778965
777	7185.965969
778	7171.508576
779	7161.102236
780	7144.399908
781	7139.226147
782	7129.612087
783	7124.407154
784	7117.344909
785	7109.427361
786	7101.391338
787	7095.028574
788	7084.559508
789	7072.778278
790	7063.993445
791	7052.84563
792	7051.542149
793	7049.844914
794	7032.680226
795	7024.352951
796	7011.538258
797	7010.929803
798	7001.612387
799	6995.205046
800	6994.594623
801	6989.153841
802	6976.554983
803	6965.958138
804	6965.363062
805	6963.498933
806	6950.355958
807	6941.893131
808	6931.121876
809	6919.938527
810	6912.224182
811	6906.062203
812	6893.013515
813	6884.244572
814	6871.17215
815	6860.199859
816	6848.296873
817	6838.373546
818	6837.877801
819	6826.161702
820	6817.240735
821	6808.445168
822	6799.157757
823	6793.784194
824	6793.145093
825	6783.434333
826	6769.859035
827	6755.503046
828	6748.915632
829	6736.706745
830	6726.036817
831	6717.83481
832	6709.190009
833	6702.603275
834	6692.122861
835	6678.850653
836	6675.413736
837	6670.229377
838	6663.77033
839	6653.781859
840	6652.25758
841	6641.055509
842	6632.095876
843	6631.220986
844	6622.062527
845	6607.320598
846	6598.847442
847	6596.611086
848	6589.499615
849	6588.530375
850	6581.957133
851	6573.867683
852	6564.408939
853	6563.637802
854	6549.110213
855	6538.359977
856	6533.026179
857	6523.580623
858	6509.959446
859	6506.437563
860	6499.964802
861	6488.161755
862	6486.445441
863	6476.882999
864	6469.680849
865	6467.118551
866	6462.475652
867	6461.95788
868	6457.584626
869	6447.892694
870	6440.281678
871	6430.531785
872	6418.04934
873	6409.367734
874	6400.451594
875	6391.152388
876	6384.239435
877	6379.475966
878	6367.654314
879	6359.215622
880	6350.428756
881	6342.648797
882	6331.587946
883	6323.614482
884	6313.526875
885	6299.754019
886	6288.730586
887	6285.425341
888	6278.497398
889	6273.879389
890	6267.003472
891	6259.278597
892	6249.328343
893	6248.79374
894	6248.298871
895	6243.075854
896	6234.304983
897	6228.126686
898	6222.852013
899	6217.310315
900	6207.158803
901	6199.764036
902	6189.583651
903	6184.922323
904	6175.410746
905	6170.221883
906	6160.746329
907	6153.223557
908	6147.082514
909	6135.151417
910	6125.894236
911	6118.614534
912	6107.21633
913	6094.190934
914	6084.67948
915	6072.958635
916	6069.656092
917	6062.720438
918	6056.760633
919	6047.412855
920	6046.937149
921	6039.388739
922	6026.899031
923	6019.010403
924	6010.258523
925	6003.073072
926	5995.749218
927	5982.602501
928	5976.903026
929	5966.911883
930	5959.009914
931	5948.790738
932	5939.146507
933	5931.009594
934	5921.64065
935	5914.636985
936	5909.188767
937	5908.713401
938	5899.65575
939	5893.717085
940	5888.13683
941	5887.757057
942	5879.072301
943	5875.651419
944	5871.312574
945	5863.589235
946	5856.309157
947	5847.073727
948	5842.894238
949	5834.74672
950	5828.910204
951	5821.248434
952	5813.01232
953	5806.440011
954	5800.011086
955	5797.042558
956	5786.484591
957	5776.320999
958	5768.707831
959	5759.862543
960	5754.995367
961	5748.104104
962	5744.561691
963	5736.650617
964	5724.117325
965	5718.732336
966	5711.129738
967	5704.68339
968	5698.839568
969	5691.769945
970	5682.708808
971	5673.039497
972	5670.063048
973	5661.194632
974	5655.938431
975	5643.987268
976	5635.45813
977	5630.710566
978	5623.538604
979	5621.553908
980	5619.913688
981	5619.462357
982	5608.433869
983	5603.2133
984	5594.509455
985	5589.999186
986	5586.93842
987	5576.129379
988	5572.557846
989	5565.025061
990	5556.351034
991	5545.378802
992	5538.542688
993	5532.376445
994	5523.709615
995	5518.959862
996	5510.855369
997	5508.806247
998	5503.980324
999	5496.403658
